pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
AQ,AP,0.142684177,104.5162629,1.48538682,10.16474138
AR,AP,0.107686932,282.6520594,0.681661892,17.82620689
AS,AP,0.106434303,286.4741391,0.747851003,21.22310344
AT,AP,0.118014563,254.0589357,0.298567335,5.53534482
AV,AP,0.030477391,13.51813103,1.180802293,7.73491379
AX,AP,0.224580725,339.9744569,0.261031518,12.31224138
AY,AP,0.037607762,11.57894705,2.6,11.27620689
AZ,AP,0.073590764,210.2927482,0.912893983,12.88896551
BA,AP,0.062970973,44.18761257,2.662177651,0.50551724
BB,AP,0.087931706,62.46898341,3.19512894,0.85939655
BC,AP,0.056808507,47.62752721,3.440401147,2.20586207
BD,AP,0.047667693,28.91421453,1.648424069,5.93215517
BE,AP,0.109425332,359.1013066,2.831805158,7.02112069
BF,AP,0.121638645,249.6859686,1.46790831,23.30637931
BG,AP,0.142788321,408.7834007,2.996848138,15.98603448
BH,AP,0.126305212,383.8476391,1.821203439,11.04887931
BI,AP,0.075108769,181.4483777,1.714040115,9.76724138
BK,AP,0.041435278,294.591055,1.529799427,9.2512931
BM,AP,0.055100545,69.03197832,2.312034384,3.59594828
BN,AP,0.061010741,60.43613977,2.255587393,3.20439656
BO,AP,0.052326592,46.02300815,0.94068768,12.64387931
BR,AP,0.049057056,49.29099555,1.697707737,3.87655173
CH,AP,0.060830783,288.2926151,0.616905445,11.68241379
H2,AP,0.175109536,521.9424709,1.088252149,11.70603449
LG,AP,0.14950448,614.9603851,0.868481375,11.10543104
MC,AP,0.182647029,518.3790732,0.652722064,10.52603449
AR,AQ,0.186226125,340.6791484,0.803724928,27.99094827
AS,AQ,0.187134882,341.0218671,0.737535817,31.38784482
AT,AQ,0.20124734,333.6257014,1.783954155,15.7000862
AV,AQ,0.134106311,97.27975483,0.304584527,17.89965517
AX,AQ,0.299298334,380.8745377,1.746418338,22.47698276
AY,AQ,0.134320646,95.37293245,1.11461318,21.44094827
AZ,AQ,0.158779039,290.7343744,0.572492837,23.05370689
BA,AQ,0.131022275,60.63751567,1.176790831,10.67025862
BB,AQ,0.112920405,42.26007081,1.70974212,11.02413793
BC,AQ,0.114068092,58.67516928,1.955014327,12.37060345
BD,AQ,0.119253835,77.40756959,0.163037249,16.09689655
BE,AQ,0.178606424,458.4481112,1.346418338,17.18586207
BF,AQ,0.192731604,346.2891142,0.01747851,33.47112069
BG,AQ,0.207382274,508.1679744,1.511461318,26.15077586
BH,AQ,0.201120608,484.7399597,0.335816619,21.21362069
BI,AQ,0.153054775,285.9633735,0.228653295,19.93198276
BK,AQ,0.071328682,397.0737897,0.044412607,19.41603448
BM,AQ,0.113529648,72.73518093,0.826647564,6.5687931
BN,AQ,0.122937588,73.71232496,0.770200573,6.96034482
BO,AQ,0.129115338,144.4513387,0.54469914,22.80862069
BR,AQ,0.109920764,81.1317401,0.212320917,6.28818965
CH,AQ,0.11366478,348.1693257,0.868481375,21.84715517
H2,AQ,0.243259442,523.5662235,0.397134671,1.54129311
LG,AQ,0.216547263,662.8135221,2.353868195,0.94068966
MC,AQ,0.242113919,516.5803961,0.832664756,0.36129311
AS,AR,0.013956543,12.47932216,0.066189111,3.39689655
AT,AR,0.054563223,84.8118767,0.980229227,12.29086207
AV,AR,0.105973824,295.9642157,0.499140401,10.0912931
AX,AR,0.159346783,79.34034397,0.94269341,5.51396551
AY,AR,0.105112752,280.7622775,1.918338108,6.55
AZ,AR,0.06830891,101.0587617,0.231232091,4.93724138
BA,AR,0.110762598,300.7448082,1.980515759,17.32068965
BB,AR,0.131672772,317.0773284,2.513467048,16.96681034
BC,AR,0.096170221,297.4836144,2.758739255,15.62034482
BD,AR,0.099407752,303.0036464,0.966762177,11.89405172
BE,AR,0.094393467,251.4009311,2.150143266,10.8050862
BF,AR,0.090385562,176.2824628,0.786246418,5.48017242
BG,AR,0.112557939,286.7015225,2.315186246,1.84017241
BH,AR,0.121368718,284.6072147,1.139541547,6.77732758
BI,AR,0.093473087,261.5069985,1.032378223,8.05896551
BK,AR,0.037652618,251.0835824,0.848137535,8.57491379
BM,AR,0.090952491,268.724688,1.630372492,21.42215517
BN,AR,0.096734861,269.8038715,1.573925501,21.03060345
BO,AR,0.091666613,294.3629729,0.259025788,5.18232758
BR,AR,0.080892951,266.754799,1.016045845,21.70275862
CH,AR,0.010929678,9.437140107,0.064756447,6.1437931
H2,AR,0.125271908,311.6220104,0.406590257,29.53224138
LG,AR,0.10615415,332.7257065,1.550143267,28.93163793
MC,AR,0.130637023,316.5841138,0.028939828,28.35224138
AT,AS,0.06346081,97.07629412,1.046418338,15.68775862
AV,AS,0.109174152,299.6790882,0.43295129,13.48818965
AX,AS,0.17081294,68.16229132,1.008882521,8.91086206
AY,AS,0.10806776,284.1042836,1.852148997,9.94689655
AZ,AS,0.067442018,111.3037485,0.16504298,8.33413793
BA,AS,0.114928291,302.8844398,1.914326648,20.7175862
BB,AS,0.133116386,318.7617896,2.447277937,20.36370689
BC,AS,0.095985534,299.4068123,2.692550144,19.01724137
BD,AS,0.101483072,305.9707691,0.900573066,15.29094827
BE,AS,0.095013455,263.6640267,2.083954155,14.20198275
BF,AS,0.100542148,188.4826956,0.720057307,2.08327587
BG,AS,0.121784771,298.5670185,2.248997135,5.23706896
BH,AS,0.124769546,296.8328573,1.073352436,10.17422413
BI,AS,0.09311062,271.8663784,0.966189112,11.45586206
BK,AS,0.031478197,263.4828389,0.781948424,11.97181034
BM,AS,0.090852564,269.5658769,1.564183381,24.81905172
BN,AS,0.097694565,271.0372559,1.50773639,24.4275
BO,AS,0.09587091,299.9445794,0.192836677,8.57922413
BR,AS,0.082968462,268.5366193,0.949856734,25.09965517
CH,AS,0.019127902,19.69580721,0.130945558,9.54068965
H2,AS,0.138479093,299.6571541,0.340401146,32.92913793
LG,AS,0.114691071,328.4870871,1.616332378,32.32853448
MC,AS,0.1523745,304.4404545,0.095128939,31.74913793
AV,AT,0.116940619,267.4843366,1.479369628,2.19956897
AX,AT,0.180013594,163.1115109,0.037535817,6.77689656
AY,AT,0.119436054,255.646251,2.898567335,5.74086207
AZ,AT,0.077264832,43.8124482,1.211461318,7.35362069
BA,AT,0.119487011,283.0196631,2.960744986,5.02982758
BB,AT,0.141421963,301.7723338,3.493696275,4.67594827
BC,AT,0.103783084,281.4047931,3.738968482,3.32948275
BD,AT,0.109166149,279.4351623,1.946991404,0.39681035
BE,AT,0.099351879,175.9340577,3.130372493,1.48577587
BF,AT,0.102551043,91.50397719,1.766475645,17.77103449
BG,AT,0.127221532,217.2578481,3.295415473,10.45068966
BH,AT,0.135200146,209.3533183,2.119770774,5.51353449
BI,AT,0.107666113,186.6019739,2.01260745,4.23189656
BK,AT,0.035593483,166.7106112,1.828366762,3.71594828
BM,AT,0.099872616,261.5733223,2.610601719,9.1312931
BN,AT,0.11053061,259.9143627,2.554154728,8.73974138
BO,AT,0.109967466,252.7197556,1.239255015,7.10853449
BR,AT,0.088946486,253.2786793,1.996275072,9.41189655
CH,AT,0.027047286,81.11633528,0.91547278,6.14706897
H2,AT,0.150155253,396.2019949,1.386819484,17.24137931
LG,AT,0.118546459,384.7433992,0.56991404,16.64077586
MC,AT,0.156260613,401.3680667,0.951289399,16.06137931
AX,AV,0.217937086,352.6757198,1.441833811,4.57732759
AY,AV,0.035553764,17.84552417,1.419197707,3.5412931
AZ,AV,0.080307135,223.7319113,0.26790831,5.15405172
BA,AV,0.060740617,39.12525297,1.481375358,7.22939655
BB,AV,0.081088641,55.06744478,2.014326647,6.87551724
BC,AV,0.058514529,43.93368864,2.259598854,5.52905172
BD,AV,0.046934008,19.87257031,0.467621776,1.80275862
BE,AV,0.109560268,370.3953647,1.651002865,0.7137931
BF,AV,0.114659268,261.719328,0.287106017,15.57146552
BG,AV,0.131699407,420.0225953,1.816045845,8.25112069
BH,AV,0.124325904,394.6719573,0.640401146,3.31396552
BI,AV,0.073538567,189.6925416,0.533237822,2.03232759
BK,AV,0.035671639,304.8800493,0.348997134,1.51637931
BM,AV,0.056370784,72.2420593,1.131232091,11.33086207
BN,AV,0.062926621,63.75829121,1.0747851,10.93931035
BO,AV,0.049688264,47.96164498,0.240114613,4.90896552
