value,rep,sp_nsp,layers
-13.506,56,nsp,2
-9.057536,56,nsp,3
-4.094578,56,nsp,4
-9.818381,56,nsp,5
-12.94366,56,sp,1
-1.995949,56,sp,2
0,56,sp,3
-4.146442,56,sp,4
-7.331939,56,sp,5
-59.02068,57,nsp,1
-10.48991,57,nsp,2
-3.775873,57,nsp,3
-4.485101,57,nsp,4
-1.853748,57,nsp,5
-11.03779,57,sp,1
-1.198032,57,sp,2
-0.5029019,57,sp,3
0,57,sp,4
-4.227752,57,sp,5
-58.90874,58,nsp,1
-15.7616,58,nsp,2
-9.858392,58,nsp,3
-5.864426,58,nsp,4
0,58,nsp,5
-15.7358,58,sp,1
-4.786916,58,sp,2
-7.38792,58,sp,3
-3.293236,58,sp,4
-4.918345,58,sp,5
-55.69447,59,nsp,1
-14.49983,59,nsp,2
-10.33699,59,nsp,3
-11.68026,59,nsp,4
-3.287096,59,nsp,5
-12.50525,59,sp,1
0,59,sp,2
-3.264426,59,sp,3
-0.3061222,59,sp,4
-0.8360939,59,sp,5
-58.16792,60,nsp,1
-12.34827,60,nsp,2
-11.0944,60,nsp,3
-4.170124,60,nsp,4
-14.17005,60,nsp,5
-10.26668,60,sp,1
-4.156993,60,sp,2
-5.299297,60,sp,3
-2.438609,60,sp,4
0,60,sp,5
-55.55342,61,nsp,1
-12.75373,61,nsp,2
-11.6276,61,nsp,3
-5.146574,61,nsp,4
-2.504992,61,nsp,5
-11.9488,61,sp,1
0,61,sp,2
-2.176241,61,sp,3
-1.088912,61,sp,4
-1.343052,61,sp,5
-58.04283,62,nsp,1
-14.56224,62,nsp,2
-25.97445,62,nsp,3
-7.368171,62,nsp,4
-6.615688,62,nsp,5
-13.69177,62,sp,1
-2.337998,62,sp,2
-2.71281,62,sp,3
-1.653094,62,sp,4
0,62,sp,5
-60.29645,63,nsp,1
-17.43893,63,nsp,2
-5.311873,63,nsp,3
-5.774241,63,nsp,4
-4.716995,63,nsp,5
-12.71901,63,sp,1
-2.681013,63,sp,2
0,63,sp,3
-1.113239,63,sp,4
-5.32416,63,sp,5
-56.91937,64,nsp,1
-13.31887,64,nsp,2
-6.436404,64,nsp,3
-6.698102,64,nsp,4
-4.006413,64,nsp,5
-9.954116,64,sp,1
-0.200544,64,sp,2
-1.781931,64,sp,3
0,64,sp,4
-1.354067,64,sp,5
-54.99565,65,nsp,1
-14.55219,65,nsp,2
-7.587511,65,nsp,3
-3.603765,65,nsp,4
-3.982958,65,nsp,5
-9.602168,65,sp,1
0,65,sp,2
-3.044306,65,sp,3
-2.416989,65,sp,4
-2.543543,65,sp,5
-57.25854,66,nsp,1
-12.25288,66,nsp,2
-5.970833,66,nsp,3
-2.396606,66,nsp,4
-3.243013,66,nsp,5
-9.683416,66,sp,1
-2.644563,66,sp,2
-3.088243,66,sp,3
-0.8078758,66,sp,4
0,66,sp,5
-56.63738,67,nsp,1
-12.21532,67,nsp,2
-3.143344,67,nsp,3
-4.734289,67,nsp,4
-5.157153,67,nsp,5
-8.325977,67,sp,1
-2.002026,67,sp,2
-1.381783,67,sp,3
-1.62656,67,sp,4
0,67,sp,5
-60.40245,68,nsp,1
-16.36977,68,nsp,2
-4.772722,68,nsp,3
-7.333267,68,nsp,4
-3.507072,68,nsp,5
-12.35676,68,sp,1
-2.260117,68,sp,2
-0.2665123,68,sp,3
0,68,sp,4
-3.65998,68,sp,5
-58.13264,69,nsp,1
-17.83752,69,nsp,2
-11.04282,69,nsp,3
-9.157154,69,nsp,4
-4.793442,69,nsp,5
-10.98263,69,sp,1
-3.397568,69,sp,2
-4.725568,69,sp,3
0,69,sp,4
-5.911596,69,sp,5
-60.69215,70,nsp,1
-16.49509,70,nsp,2
-6.482794,70,nsp,3
-9.998006,70,nsp,4
-8.26927,70,nsp,5
-10.65582,70,sp,1
0,70,sp,2
-3.801026,70,sp,3
-2.460023,70,sp,4
-2.254366,70,sp,5
-63.9883,71,nsp,1
-13.0326,71,nsp,2
-7.957972,71,nsp,3
-11.27653,71,nsp,4
-4.250666,71,nsp,5
-10.49939,71,sp,1
-0.5654044,71,sp,2
-0.6533001,71,sp,3
-1.910833,71,sp,4
0,71,sp,5
-58.67036,72,nsp,1
-15.42019,72,nsp,2
-8.367682,72,nsp,3
-6.506728,72,nsp,4
-7.677046,72,nsp,5
-10.67412,72,sp,1
-1.632565,72,sp,2
-3.346512,72,sp,3
-6.678067,72,sp,4
0,72,sp,5
-57.95156,73,nsp,1
-16.98931,73,nsp,2
